recipe,rel,material
砂锅豆腐（二）,contains,豆腐
一品砂锅汤,contains,猪肉(肥瘦)
猪尾浓汤,contains,猪尾
圆笼武昌鱼,contains,武昌鱼
鱼头炖茄子,contains,鲢鱼
豉姜泥鳅,contains,泥鳅
泰安豆腐,contains,豆腐
山药豆腐丸,contains,豆腐
蚝油茄丝,contains,茄子(紫皮、长)
菠菜汆丸子,contains,菠菜
酱茄泥,contains,茄子
青椒炒丝瓜,contains,青椒
炒三丝(1),contains,莴笋
炒三丝(2),contains,柿子椒
蟹香豆腐,contains,豆腐
鲜贝蒸豆腐,contains,豆腐
熘豆腐,contains,豆腐
虾皮粉丝海带汤,contains,海带(鲜)
虾仁仙人掌汤,contains,虾仁
青豆鱼头汤,contains,鲢鱼
干烧活鲫鱼,contains,鲫鱼
黄焖羊肉（一）,contains,羊前腿肉
蒸羊排,contains,羊排
烧羊排,contains,羊排
香菇里脊,contains,猪里脊肉
香花鸡丝,contains,夜香花
绍菜肉丸煲,contains,猪肉(肥瘦)
炒菊花菜,contains,茼蒿
糊辣青鳝,contains,河鳗
兔肉火锅,contains,兔肉
酸辣豆腐瘦肉羹,contains,豆腐
板栗牛肉,contains,牛肉(肥瘦)
萝卜鸡丝,contains,胡萝卜
白菜蜇皮,contains,白菜
白灼基围虾,contains,基围虾
氽毛豆丸子,contains,牛肉（瘦）
洋葱蘑菇红烩鸡,contains,鸡
烩鸡丝,contains,鸡胸脯肉
鲫鱼陈皮枸杞菜,contains,鲫鱼
玉笋鸡米,contains,鸡胸脯肉
醋熘豆腐,contains,豆腐
烩鱼银丝,contains,鸡胸脯肉
芽菜炒虾仁,contains,绿豆芽
熘珊瑚虾仁,contains,虾仁
毛豆脆虾仁,contains,毛豆
口蘑虾片,contains,对虾
青蒜焖火腩,contains,叉烧肉
口蘑里脊,contains,猪里脊肉
京葱铁板牛柳,contains,牛里脊肉
芋艿鲩鱼腩,contains,芋头
栗子黄焖鸡,contains,鸡
冬菇鸡,contains,鸡
熘黄菜(一),contains,鸡蛋
烩甜三鲜,contains,苹果
烩蛋饺,contains,鸡蛋
节瓜咸蛋瘦肉汤,contains,节瓜
银耳鹌鹑汤,contains,鹌鹑肉
子鸡汤,contains,鸡腿
椒盐鲫鱼汤,contains,鲫鱼
排骨蘑菇汤,contains,猪排骨(大排)
蔬菜云吞汤,contains,小麦面粉
金银菜排骨汤,contains,猪排骨(大排)
横舌好市汤,contains,猪舌
鲜鱼蒸蛋,contains,鸡蛋
双冬滑鸡,contains,鸡
甘笋鸡块,contains,鸡
蘑菇玉兰片汤,contains,蘑菇(鲜蘑)
鸡茸大白菜心,contains,白菜
鱼沙拉,contains,小黄鱼
卤腰片,contains,猪腰子
糖醋素鱼,contains,素鸡
龙井鱼片,contains,青鱼
猪舌西洋菜汤,contains,猪舌
鸡丝扒鲜菇,contains,鸡胸脯肉
雪里蕻鸡焯,contains,鸡胸脯肉
清蒸羊肉（三）,contains,羊前腿肉
豌豆鱼盅羹,contains,鱼肉
荷包果味双菇肉,contains,猪肉(瘦)
糟熘鱼片(二),contains,草鱼
豆腐汉堡,contains,米饭(蒸)
黄金菇炖椰奶,contains,榆黄蘑(干)
砂锅烧牛蛙,contains,牛蛙
肉松（二）,contains,猪肉(瘦)
烧鱼翅,contains,油皮
清汤鸭块,contains,油皮
一品鸽蛋,contains,豆腐渣
三鲜素鱼肚,contains,油面筋
长寿菜,contains,香菇（干）
油焖花菇,contains,花菇
烧冬瓜,contains,冬瓜
家制猪肉松,contains,猪肉(瘦)
荷叶鸭子,contains,鸭
满月银球,contains,豆腐(南)
烩三样,contains,鸭掌
独三样,contains,羊脑
生扒羊肉,contains,羊肉(肥瘦)
怪味泥鳅,contains,泥鳅
鲫鱼氽白玉,contains,鲫鱼
龙井白玉,contains,虾仁
清炖牛尾汤,contains,牛尾
蚝油香菇豆腐,contains,豆腐
家乡炊鸡,contains,鸡
