recipe,rel,material
青豆鱼头汤,contains,青豆
干烧活鲫鱼,contains,玉兰片
蒸羊排,contains,香菇（鲜）
香菇里脊,contains,香菇（干）
绍菜肉丸煲,contains,香菇（鲜）
酸辣豆腐瘦肉羹,contains,猪肉(瘦)
板栗牛肉,contains,栗子（鲜）
白菜蜇皮,contains,胡萝卜
氽毛豆丸子,contains,鸡蛋
洋葱蘑菇红烩鸡,contains,洋葱
烩鸡丝,contains,冬笋
鲫鱼陈皮枸杞菜,contains,陈皮
玉笋鸡米,contains,胡萝卜
醋熘豆腐,contains,大葱
烩鱼银丝,contains,金华火腿
芽菜炒虾仁,contains,香菇（鲜）
熘珊瑚虾仁,contains,胡萝卜
口蘑虾片,contains,口蘑
口蘑里脊,contains,鸡蛋清
京葱铁板牛柳,contains,胡萝卜
栗子黄焖鸡,contains,香菇（鲜）
冬菇鸡,contains,香菇（鲜）
熘黄菜(一),contains,荸荠
烩蛋饺,contains,猪肉(瘦)
银耳鹌鹑汤,contains,蘑菇(鲜蘑)
子鸡汤,contains,葵花子仁
排骨蘑菇汤,contains,番茄
蔬菜云吞汤,contains,腌芥菜头
横舌好市汤,contains,蜜枣
鲜鱼蒸蛋,contains,鸡肉
双冬滑鸡,contains,香菇（鲜）
甘笋鸡块,contains,白菜
鱼沙拉,contains,土豆
卤腰片,contains,菠菜
糖醋素鱼,contains,白果（鲜）
龙井鱼片,contains,火腿肠
猪舌西洋菜汤,contains,无花果
鸡丝扒鲜菇,contains,韭黄
雪里蕻鸡焯,contains,番茄
清蒸羊肉（三）,contains,香菜
豌豆鱼盅羹,contains,火腿
荷包果味双菇肉,contains,荷叶
糟熘鱼片(二),contains,土豆
豆腐汉堡,contains,西兰花
黄金菇炖椰奶,contains,椰子
砂锅烧牛蛙,contains,豆腐
烧鱼翅,contains,玉兰片
清汤鸭块,contains,口蘑
一品鸽蛋,contains,发菜（干）
三鲜素鱼肚,contains,香菇（干）
长寿菜,contains,冬笋
荷叶鸭子,contains,糯米粉
满月银球,contains,香菇（鲜）
烩三样,contains,金华火腿
怪味泥鳅,contains,鸡蛋清
龙井白玉,contains,龙井
清炖牛尾汤,contains,胡萝卜
蚝油香菇豆腐,contains,香菇（鲜）
家乡炊鸡,contains,木耳(水发) 
烩鱼丝海参,contains,玉兰片
炸“鹅脖”,contains,油皮
洋菜拌虾仁,contains,火腿肠
荷叶豆腐,contains,籼米粉（干、细）
陈皮红衫鱼,contains,陈皮
冬笋煲鹌鹑,contains,冬笋
人参红枣炖兔肉,contains,人参
砂锅豆腐（三）,contains,鸡肉
氽鲫鱼汤,contains,火腿
外婆两江鱼,contains,魔芋
三鲜酿黄瓜,contains,面包
黄瓜盅,contains,冬笋
炒蛋奶片,contains,虾仁
鱼肉酿冬菇,contains,香菇（鲜）
